Player,Position,Team,Rebounds,Assists,Steals,Blocks,Turnovers,Fantasy_Points
Zach LaVine,SG,CHI,0,0,0,0,0,110.8
Shai Gilgeous-Alexander,PG,OKC,0,0,0,0,0,138.8
Ochai Agbaji,SF,TOR,0,0,0,0,0,127.9
Evan Mobley,PF,CLE,0,0,0,0,0,152.9
Jimmy Butler,SF,MIA,0,0,0,0,0,114.7
Derrick Jones Jr.,SF,LAC,0,0,0,0,0,28.6
Kevon Looney,C,GSW,0,0,0,0,0,26.3
Coby White,PG,CHI,0,0,0,0,0,107.6
Brandon Miller,SF,CHA,0,0,0,0,0,40.8
Luka Doncic,PG,DAL,0,0,0,0,0,191.7
Garrison Mathews,SG,ATL,0,0,0,0,0,18.1
Naz Reid,C,MIN,0,0,0,0,0,90.2
Terry Rozier,PG,MIA,0,0,0,0,0,101.9
Jayson Tatum,PF,BOS,0,0,0,0,0,204.3
Tre Mann,PG,CHA,0,0,0,0,0,112.2
Kyle Kuzma,PF,WAS,0,0,0,0,0,48.7
Corey Kispert,SF,WAS,0,0,0,0,0,7.6
Anthony Black,PG,ORL,0,0,0,0,0,17.9
Wendell Carter Jr.,C,ORL,0,0,0,0,0,79.1
Royce O'Neale,SF,PHO,0,0,0,0,0,48.4
Yves Missi,C,NOP,0,0,0,0,0,27.5
Andrew Wiggins,SF,GSW,0,0,0,0,0,21.6
Josh Hart,SF,NYK,0,0,0,0,0,123.2
Jonathan Kuminga,PF,GSW,0,0,0,0,0,94.6
Ben Simmons,PG,BKN,0,0,0,0,0,61.8
Onyeka Okongwu,C,ATL,0,0,0,0,0,33.4
Davion Mitchell,PG,TOR,0,0,0,0,0,56.9
Keldon Johnson,SF,SAS,0,0,0,0,0,103.3
Julius Randle,PF,MIN,0,0,0,0,0,126.6
Jalen Brunson,PG,NYK,0,0,0,0,0,133.7
LeBron James,SF,LAL,0,0,0,0,0,126.4
Gary Trent Jr.,SG,MIL,0,0,0,0,0,38.0
LaMelo Ball,PG,CHA,0,0,0,0,0,152.3
Jonathan Mogbo,PF,TOR,0,0,0,0,0,39.9
Brook Lopez,C,MIL,0,0,0,0,0,80.5
Pascal Siakam,PF,IND,0,0,0,0,0,152.0
Alex Caruso,SG,OKC,0,0,0,0,0,13.9
Jay Huff,C,MEM,0,0,0,0,0,36.8
Derrick White,SG,BOS,0,0,0,0,0,159.7
Caleb Martin,SG,PHL,0,0,0,0,0,25.6
Jaden Ivey,SG,DET,0,0,0,0,0,119.9
Amen Thompson,SF,HOU,0,0,0,0,0,79.6
Chris Boucher,PF,TOR,0,0,0,0,0,36.9
Ayo Dosunmu,SG,CHI,0,0,0,0,0,83.3
Cole Anthony,PG,ORL,0,0,0,0,0,29.3
Deni Avdija,SF,POR,0,0,0,0,0,110.6
Jose Alvarado,PG,NOP,0,0,0,0,0,120.3
Aaron Gordon,PF,DEN,0,0,0,0,0,183.1
Damian Lillard,PG,MIL,0,0,0,0,0,152.6
Jamal Shead,PG,TOR,0,0,0,0,0,57.3
Grant Williams,PF,CHA,0,0,0,0,0,37.5
Domantas Sabonis,C,SAC,0,0,0,0,0,198.6
Kyle Anderson,SF,GSW,0,0,0,0,0,66.3
Zach Edey,C,MEM,0,0,0,0,0,56.6
Tyrese Haliburton,PG,IND,0,0,0,0,0,129.4
Cade Cunningham,PG,DET,0,0,0,0,0,179.0
Jalen Suggs,PG,ORL,0,0,0,0,0,193.6
Zaccharie Risacher,SF,ATL,0,0,0,0,0,82.0
Grayson Allen,SG,PHO,0,0,0,0,0,64.8
DeMar DeRozan,SF,SAC,0,0,0,0,0,197.3
Kyrie Irving,PG,DAL,0,0,0,0,0,201.0
Dean Wade,PF,CLE,0,0,0,0,0,30.7
